aX,aY,aZ,gX,gY,gZ
-0.191,0.049,0.955,0.916,2.075,0.183
-0.194,0.054,0.954,0.671,1.648,0.366
-0.193,0.054,0.954,0.732,1.465,0.793
-0.196,0.056,0.954,0.854,1.587,0.854
-0.199,0.055,0.949,1.343,1.526,1.648
-0.195,0.051,0.954,1.404,2.380,2.014
-0.193,0.047,0.956,1.587,1.953,1.831
-0.192,0.044,0.950,1.221,2.075,1.282
-0.194,0.045,0.955,0.305,2.136,0.793
-0.193,0.049,0.953,0.427,1.770,0.610
-0.193,0.052,0.954,0.610,1.709,0.366
-0.195,0.056,0.952,0.732,1.831,0.305
-0.194,0.053,0.954,1.038,1.953,0.854
-0.195,0.052,0.953,1.038,1.892,0.977
-0.195,0.051,0.951,1.099,2.136,1.160
-0.193,0.049,0.955,0.793,1.892,0.916
-0.194,0.049,0.954,0.854,1.770,0.549
-0.194,0.052,0.952,1.221,1.770,0.610
-0.192,0.054,0.953,0.793,2.014,0.854
-0.194,0.053,0.955,1.099,1.770,1.160
-0.194,0.048,0.953,1.587,1.892,1.099
-0.196,0.047,0.950,1.587,2.380,0.732
-0.199,0.053,0.952,0.854,1.526,1.282
-0.196,0.055,0.950,0.488,1.465,2.319
-0.190,0.050,0.955,0.732,2.197,2.319
-0.187,0.047,0.956,0.671,1.892,1.892
-0.188,0.048,0.951,0.549,1.770,0.977
-0.191,0.052,0.955,0.122,0.427,0.977
-0.196,0.056,0.954,0.610,1.526,0.488
-0.202,0.059,0.951,1.587,1.831,0.854
-0.197,0.052,0.950,1.221,2.075,1.953
-0.190,0.046,0.954,0.916,2.258,2.197
-0.187,0.040,0.954,0.427,1.953,0.977
-0.189,0.050,0.953,0.000,0.916,0.488
-0.191,0.053,0.954,0.427,1.587,0.427
-0.196,0.065,0.955,0.793,1.282,0.549
-0.199,0.065,0.950,1.831,1.892,1.282
-0.198,0.055,0.953,1.831,1.892,2.136
-0.193,0.042,0.949,1.099,1.709,2.502
-0.191,0.040,0.955,0.732,1.587,1.709
-0.193,0.047,0.953,0.610,1.770,0.732
-0.195,0.053,0.952,0.366,1.526,0.732
-0.196,0.058,0.952,0.366,0.732,1.343
-0.195,0.055,0.954,0.793,1.465,1.404
-0.196,0.054,0.953,1.221,1.709,1.099
-0.197,0.051,0.950,1.343,1.404,1.282
-0.197,0.050,0.953,0.610,1.526,1.343
-0.196,0.051,0.952,0.916,1.587,1.343
-0.194,0.051,0.952,1.160,2.075,0.977
-0.193,0.050,0.951,0.610,1.465,0.977
-0.194,0.050,0.953,0.305,1.648,0.549
-0.196,0.056,0.955,0.854,1.648,0.122
-0.199,0.061,0.951,0.732,1.282,0.854
-0.197,0.059,0.951,1.160,1.404,2.075
-0.195,0.053,0.954,1.343,1.526,2.075
-0.194,0.048,0.952,1.221,1.587,1.831
-0.193,0.045,0.952,1.282,1.892,1.343
-0.194,0.046,0.950,0.488,1.709,1.038
-0.194,0.051,0.953,0.122,1.526,0.610
-0.197,0.057,0.952,0.366,1.343,0.732
-0.198,0.059,0.952,1.099,1.770,1.160
-0.197,0.056,0.951,1.160,1.526,1.709
-0.198,0.052,0.952,1.465,1.709,1.709
-0.196,0.049,0.950,1.282,1.648,1.343
-0.198,0.045,0.952,0.977,1.587,1.099
-0.196,0.050,0.950,0.244,1.282,0.977
-0.192,0.049,0.958,0.671,2.136,0.366
-0.195,0.056,0.950,1.404,1.343,-0.122
-0.200,0.058,0.949,1.465,1.709,0.549
-0.199,0.055,0.950,1.038,1.953,1.404
-0.197,0.052,0.952,0.977,1.892,1.587
-0.196,0.048,0.950,1.465,1.953,1.099
-0.198,0.051,0.950,0.732,1.709,1.038
-0.197,0.053,0.953,0.732,1.953,1.221
-0.197,0.056,0.953,0.854,1.526,1.282
-0.195,0.055,0.952,1.221,1.831,1.282
-0.195,0.051,0.952,1.221,1.892,1.160
-0.195,0.050,0.951,0.793,1.648,0.732
-0.195,0.052,0.951,0.549,1.587,1.160
-0.195,0.053,0.952,0.977,1.404,0.854
-0.198,0.056,0.951,0.488,1.221,0.854
-0.199,0.055,0.951,0.854,1.526,1.099
-0.198,0.054,0.950,1.038,1.892,1.038
-0.198,0.052,0.951,1.221,2.197,0.854
-0.199,0.055,0.952,1.343,1.953,1.160
-0.196,0.053,0.952,1.221,1.709,1.404
-0.192,0.053,0.952,0.854,1.831,1.282
-0.198,0.052,0.952,1.404,1.709,0.793
-0.197,0.052,0.948,1.465,1.831,0.916
-0.197,0.051,0.951,0.793,2.075,0.977
-0.200,0.056,0.953,0.671,1.465,0.854
-0.199,0.058,0.949,0.977,1.953,1.892
-0.195,0.052,0.953,1.404,2.441,2.014
-0.192,0.047,0.954,1.343,2.014,1.892

-0.192,0.047,0.949,0.610,1.343,1.099
-0.197,0.052,0.953,0.305,1.465,0.305
-0.202,0.061,0.950,0.854,1.526,0.732
-0.200,0.058,0.951,1.160,1.831,1.282
-0.197,0.052,0.952,1.770,2.197,1.404
-0.196,0.046,0.950,1.465,1.831,1.343
-0.192,0.045,0.950,0.671,1.831,0.854
-0.193,0.054,0.953,0.183,1.526,0.183
-0.198,0.062,0.956,1.160,1.343,0.000
-0.199,0.062,0.950,1.648,1.587,0.977
-0.198,0.053,0.951,1.892,2.136,1.221
-0.199,0.051,0.951,1.404,1.709,1.160
-0.200,0.050,0.949,1.160,1.709,1.465
-0.199,0.051,0.951,0.854,1.831,1.160
-0.199,0.054,0.951,0.916,1.648,1.221
-0.198,0.054,0.951,0.671,1.770,1.404
-0.196,0.052,0.954,0.916,1.892,1.343
-0.195,0.051,0.950,0.977,1.709,1.099
-0.198,0.053,0.950,0.732,1.709,0.610
-0.200,0.056,0.952,0.854,1.892,0.793
-0.199,0.055,0.950,0.732,1.587,1.343
-0.197,0.054,0.952,1.404,2.136,0.977
-0.196,0.051,0.951,1.343,1.953,0.916
-0.195,0.052,0.953,0.488,1.526,1.160
-0.195,0.054,0.955,0.671,1.465,0.854
-0.195,0.058,0.953,0.977,1.709,0.549
-0.198,0.059,0.949,1.648,1.770,1.099
-0.200,0.053,0.952,1.282,1.526,1.648
-0.200,0.049,0.948,1.343,1.648,1.831
-0.200,0.050,0.950,1.160,2.075,1.221
-0.199,0.053,0.949,0.610,1.709,1.465
-0.196,0.054,0.952,0.488,2.014,1.404
-0.195,0.056,0.955,0.427,1.831,1.221
-0.194,0.053,0.953,1.099,1.465,1.343
-0.198,0.050,0.951,1.038,1.526,0.732
-0.201,0.052,0.950,1.099,1.587,0.732
-0.201,0.056,0.947,0.671,1.770,0.916
-0.201,0.055,0.953,1.038,2.136,0.854
-0.199,0.052,0.950,1.221,1.831,1.221
-0.193,0.045,0.951,0.916,1.953,0.854
-0.194,0.049,0.954,0.854,1.892,0.488
-0.196,0.055,0.953,0.488,1.282,0.122
-0.199,0.059,0.954,1.221,2.441,-0.244
-0.202,0.063,0.953,1.404,1.831,0.793
-0.198,0.056,0.951,1.648,2.380,1.648
-0.194,0.048,0.951,1.892,2.197,1.465
-0.197,0.049,0.951,1.770,2.502,1.038
-0.197,0.052,0.950,0.854,1.343,1.099
-0.195,0.054,0.952,0.732,1.831,1.465
-0.194,0.054,0.953,0.427,1.831,1.099
-0.195,0.053,0.953,0.732,2.258,0.610
-0.197,0.054,0.953,1.099,2.258,0.427
-0.201,0.058,0.950,1.404,2.136,0.916
-0.198,0.054,0.950,1.465,2.563,1.526
-0.197,0.046,0.950,1.648,2.319,1.221
-0.197,0.047,0.951,1.221,2.319,0.366
-0.196,0.054,0.950,0.488,1.831,0.366
-0.197,0.059,0.954,0.488,2.319,0.671
-0.191,0.059,0.954,0.610,1.953,3.418
-0.190,0.054,0.953,1.221,2.075,1.587
-0.196,0.055,0.951,1.404,1.709,0.977
-0.198,0.055,0.950,1.404,1.709,1.343
-0.199,0.053,0.950,1.282,1.831,1.404
-0.198,0.052,0.950,1.282,2.075,1.587
-0.195,0.051,0.951,1.221,2.075,1.709
-0.191,0.050,0.953,0.610,1.770,1.587
-0.190,0.052,0.955,0.427,1.526,0.854
-0.195,0.056,0.951,0.854,1.282,0.488
-0.200,0.057,0.952,1.099,1.526,1.099
-0.199,0.056,0.950,1.343,1.526,1.465
-0.198,0.053,0.950,1.282,2.075,1.465
-0.195,0.050,0.950,1.099,1.770,1.343
-0.192,0.051,0.954,0.977,2.136,0.671
-0.194,0.052,0.953,0.977,2.014,0.610
-0.195,0.055,0.952,0.732,1.465,0.732
-0.197,0.059,0.953,0.916,1.587,0.549
-0.199,0.059,0.950,1.404,1.404,1.099
-0.199,0.058,0.951,1.221,1.648,1.526
-0.198,0.052,0.950,1.465,1.648,2.075
-0.196,0.045,0.950,1.648,2.014,1.587
-0.197,0.047,0.950,1.160,1.953,0.916
-0.198,0.053,0.951,0.610,1.831,0.793
-0.199,0.059,0.953,0.732,1.892,1.038
-0.197,0.057,0.951,1.221,2.014,1.404
-0.191,0.050,0.954,1.099,1.709,1.404
-0.195,0.048,0.951,0.854,1.526,0.427
-0.199,0.054,0.950,0.549,1.526,0.366
-0.201,0.062,0.951,0.610,1.404,0.916
-0.197,0.059,0.952,1.404,1.709,2.014
-0.192,0.051,0.953,1.282,1.648,1.709
-0.193,0.049,0.951,0.977,1.282,1.343
-0.195,0.050,0.953,0.732,1.038,0.793
-0.199,0.054,0.953,0.977,1.282,0.732
-0.200,0.058,0.951,0.977,1.343,0.916
-0.200,0.057,0.951,1.099,1.526,1.404
-0.200,0.053,0.950,1.587,1.709,1.404
-0.199,0.048,0.950,1.404,2.075,1.465
-0.198,0.050,0.949,0.854,1.587,0.854
-0.201,0.053,0.951,0.732,1.709,1.282
-0.201,0.054,0.952,0.977,1.953,1.282

-0.196,0.054,0.950,0.732,1.526,1.282
-0.194,0.052,0.953,0.732,2.136,1.282
-0.195,0.053,0.952,0.549,1.404,0.793
-0.200,0.056,0.949,0.793,1.709,0.793
-0.201,0.057,0.953,1.160,1.709,0.916
-0.199,0.054,0.952,1.343,2.258,1.282
-0.196,0.050,0.950,1.343,1.526,1.282
-0.194,0.051,0.951,0.610,1.892,0.793
-0.197,0.056,0.955,0.427,1.465,0.122
-0.200,0.060,0.953,1.282,1.648,0.122
-0.200,0.059,0.950,1.770,1.831,1.343
-0.198,0.053,0.951,1.160,1.526,1.465
-0.201,0.051,0.950,1.465,1.648,1.221
-0.200,0.049,0.949,1.587,1.770,1.343
-0.201,0.051,0.949,0.549,1.892,1.282
-0.200,0.056,0.950,0.427,1.953,1.221
-0.199,0.055,0.953,0.793,2.136,1.526
-0.196,0.051,0.954,1.221,2.075,1.221
-0.198,0.052,0.953,0.977,1.648,1.099
-0.198,0.055,0.952,0.305,2.014,0.977
-0.197,0.056,0.957,0.671,1.831,1.160
-0.198,0.057,0.953,0.977,1.709,1.038
-0.199,0.055,0.949,1.526,1.831,1.160
-0.200,0.052,0.951,1.404,1.648,1.343
-0.197,0.048,0.951,0.977,1.831,1.465
-0.196,0.050,0.953,0.977,1.709,0.793
-0.200,0.057,0.952,1.038,1.343,0.854
-0.199,0.056,0.950,1.404,1.709,0.977
-0.200,0.054,0.952,1.587,1.709,0.916
-0.201,0.053,0.950,1.465,1.709,1.282
-0.201,0.050,0.950,1.099,2.197,1.099
-0.201,0.052,0.950,0.977,1.892,0.854
-0.198,0.054,0.949,0.488,1.770,1.465
-0.194,0.053,0.954,0.549,1.953,1.770
-0.195,0.052,0.954,0.977,1.709,1.099
-0.196,0.053,0.950,0.732,1.160,0.977
-0.199,0.058,0.951,0.977,1.648,0.793
-0.202,0.056,0.952,1.526,1.831,1.221
-0.201,0.053,0.948,1.465,1.831,1.343
-0.197,0.047,0.950,1.404,2.319,1.465
-0.194,0.047,0.953,0.732,1.587,0.488
-0.196,0.055,0.955,0.793,1.709,-0.122
-0.199,0.060,0.953,1.038,1.404,0.305
-0.201,0.060,0.951,1.587,1.648,0.793
-0.202,0.056,0.950,2.014,2.014,1.282
-0.201,0.052,0.949,1.587,1.709,1.648
-0.199,0.048,0.950,1.343,2.075,1.465
-0.200,0.049,0.950,1.038,2.197,1.038
-0.198,0.052,0.950,0.305,1.404,1.282
-0.197,0.055,0.953,0.732,1.648,1.099
-0.200,0.055,0.952,0.854,1.953,0.854
-0.201,0.056,0.953,0.916,1.709,1.221
-0.201,0.054,0.950,1.099,1.526,1.587
-0.198,0.051,0.952,1.038,1.770,1.526
-0.197,0.050,0.952,1.160,2.014,1.160
-0.197,0.050,0.951,0.732,1.892,0.916
-0.198,0.051,0.950,0.732,1.648,0.610
-0.198,0.055,0.954,0.305,1.526,0.793
-0.201,0.059,0.950,0.977,1.465,0.793
-0.200,0.056,0.950,1.648,1.953,1.221
-0.200,0.054,0.952,1.404,2.014,1.099
-0.200,0.052,0.946,1.099,1.953,1.160
-0.202,0.051,0.952,1.038,2.136,1.099
-0.202,0.052,0.950,0.916,2.319,1.343
-0.197,0.054,0.952,0.610,2.136,1.404
-0.194,0.053,0.953,0.488,2.014,1.465
-0.195,0.055,0.953,0.732,2.014,0.671
-0.197,0.056,0.951,0.916,1.953,0.671
-0.198,0.056,0.953,1.160,1.892,0.916
-0.199,0.056,0.952,0.977,2.014,0.916
-0.198,0.054,0.950,1.343,1.953,1.343
-0.197,0.051,0.953,1.099,2.014,1.038
-0.197,0.051,0.952,1.282,1.770,0.793
-0.195,0.052,0.951,0.366,1.160,0.671
-0.197,0.055,0.954,1.099,2.197,0.305
-0.198,0.058,0.953,1.221,1.587,0.427
-0.199,0.057,0.950,1.221,1.892,0.854
