aX,aY,aZ,gX,gY,gZ
-0.373,-0.962,0.038,1.709,1.831,2.197

-0.359,-0.958,0.044,4.700,1.343,0.549
-0.376,-0.873,-0.023,2.197,-1.770,0.305
-0.364,-0.944,0.009,-0.671,2.319,1.770
-0.376,-0.984,0.063,2.258,3.357,0.366
-0.390,-0.916,0.027,1.465,0.427,-3.662
-0.379,-0.896,0.004,-0.977,-0.183,-14.709
-0.388,-0.919,-0.009,0.122,0.854,-14.526
-0.443,-0.918,0.024,-2.869,4.944,-1.343
-0.422,-0.905,0.010,-2.380,3.662,4.272
-0.414,-0.918,0.044,0.305,1.648,4.517
-0.390,-0.948,0.031,-4.761,0.183,2.991
-0.379,-0.953,0.042,-2.502,2.502,0.244
-0.385,-0.947,0.043,-3.540,0.183,-1.038
-0.390,-0.911,0.018,-5.615,-3.662,0.549
-0.389,-0.946,0.008,-2.563,-1.953,0.366
-0.437,-0.912,0.029,-4.089,0.610,-0.122
-0.400,-0.903,0.048,-8.301,-1.953,-2.075
-0.392,-0.924,0.033,-7.324,-1.831,-1.831
-0.397,-0.955,0.034,-1.648,-0.610,0.854
-0.400,-0.965,0.060,3.235,2.136,2.197
-0.388,-0.954,0.079,4.150,1.648,0.061
-0.424,-0.913,0.050,7.568,-2.808,-3.418
-0.452,-0.874,0.001,11.841,-1.953,-5.066
-0.373,-0.924,0.029,13.611,1.709,-6.165
-0.400,-0.930,0.011,9.827,3.357,-3.174
-0.415,-0.924,0.000,8.118,1.160,-1.038
-0.404,-0.928,0.014,2.563,5.066,3.418
-0.389,-0.940,0.042,5.676,5.615,3.479
-0.390,-0.930,0.037,6.470,2.380,2.014
-0.357,-0.947,0.039,2.747,3.052,2.258
-0.350,-0.953,0.051,-0.488,5.798,2.441
-0.365,-0.951,0.028,-0.488,1.892,1.404
-0.437,-0.892,-0.011,-2.686,0.244,2.258
-0.427,-0.928,-0.005,1.526,3.784,3.235
-0.421,-0.922,0.031,4.883,6.653,1.709
-0.367,-0.943,0.039,8.179,3.906,0.244
-0.348,-0.927,0.028,7.935,3.662,2.380
-0.354,-0.993,0.037,9.521,3.967,2.502
-0.403,-0.967,0.013,10.681,2.319,-0.244
-0.350,-0.924,-0.010,6.592,3.662,-1.709
-0.438,-0.876,-0.018,10.559,3.296,-4.822
-0.419,-0.909,0.001,12.268,1.587,-5.066
-0.418,-0.901,0.001,5.615,0.854,-1.770
-0.364,-0.953,0.021,5.493,0.854,-2.808
-0.406,-0.983,0.009,4.944,0.183,-1.465
-0.463,-0.932,-0.011,1.709,0.549,-2.625
-0.458,-0.926,-0.014,-0.610,-0.549,-3.357
-0.476,-0.886,-0.022,-1.343,-0.122,-1.709
-0.406,-0.910,-0.011,0.244,-0.244,-0.793
-0.353,-0.937,-0.013,1.526,-0.183,2.258
-0.392,-0.907,-0.032,1.282,-1.282,5.737
-0.380,-0.908,-0.047,1.282,-0.916,4.639
-0.448,-0.876,-0.066,-0.061,1.038,3.540
-0.437,-0.909,-0.052,-1.770,4.089,3.235
-0.393,-0.970,-0.024,-1.709,7.996,3.784
-0.385,-0.980,0.007,0.244,10.132,5.920
-0.350,-0.980,0.020,2.930,8.362,12.024
-0.432,-0.941,0.002,3.845,3.967,14.771
-0.456,-0.906,0.009,-0.366,4.028,9.155
-0.430,-0.887,0.033,1.404,-2.014,0.061
-0.401,-0.914,-0.013,2.197,-4.578,-0.671
-0.415,-0.887,-0.022,-0.488,-0.488,3.723
-0.339,-0.957,0.014,0.061,0.122,4.028
-0.361,-0.956,-0.008,1.099,-0.977,4.639
-0.333,-0.955,-0.020,2.014,-0.305,5.310
-0.377,-0.937,-0.024,0.671,0.305,7.446
-0.425,-0.938,-0.001,0.916,0.977,8.911
-0.422,-0.923,-0.016,2.991,0.061,6.897
-0.414,-0.952,-0.012,3.296,0.671,6.958
-0.339,-0.940,-0.017,2.441,0.732,7.690
-0.321,-0.934,-0.011,1.160,1.770,8.911
-0.364,-0.943,-0.017,1.282,-0.610,10.498
-0.358,-0.935,-0.031,2.869,0.549,7.141
-0.353,-0.957,-0.022,2.319,2.136,3.601
-0.349,-0.971,-0.014,1.221,0.000,2.930
-0.306,-0.949,-0.043,0.061,-1.038,1.831
-0.340,-0.939,-0.053,0.061,0.854,1.343
-0.332,-0.949,-0.031,-0.366,4.700,-0.671
-0.401,-0.957,-0.010,-1.099,6.653,0.122
-0.389,-0.965,0.012,-0.610,5.920,0.122
-0.381,-0.953,0.012,0.305,3.113,-0.244
-0.337,-0.943,0.002,0.916,1.160,-0.427
-0.323,-0.932,-0.019,-0.244,0.305,-0.122
-0.374,-0.923,-0.010,0.427,1.465,1.831
-0.358,-0.944,0.002,0.732,0.061,2.258
-0.415,-0.952,-0.001,-1.526,-0.732,1.892
-0.363,-0.956,-0.004,-0.122,-0.366,1.770
-0.296,-0.930,-0.020,0.671,-0.183,2.502
-0.357,-0.947,-0.012,-0.732,0.549,1.099
-0.356,-0.951,-0.025,-2.136,0.854,1.953
-0.355,-0.949,-0.025,-0.916,1.282,2.319
