aX,aY,aZ,gX,gY,gZ
-0.141,-0.042,0.969,1.099,1.953,1.465
-0.092,0.006,0.969,1.221,2.136,1.099
-0.039,0.031,0.974,0.732,2.258,1.221
-0.041,0.033,0.972,1.038,1.282,1.404
-0.070,-0.004,0.960,1.099,1.648,0.854
-0.134,-0.043,0.966,0.977,1.953,1.648

-0.122,-0.018,0.976,0.793,1.953,1.953
-0.057,0.029,0.972,1.465,1.343,1.648
-0.045,0.023,0.964,1.282,1.892,1.953
-0.038,0.016,0.968,0.732,2.014,1.404
-0.103,-0.037,0.964,1.343,1.953,1.343
-0.144,-0.042,0.966,1.038,1.770,1.770
-0.091,0.016,0.977,0.916,2.319,1.709
-0.094,0.008,0.980,1.221,1.892,2.258
-0.078,0.004,0.974,0.671,1.526,1.953
-0.086,-0.008,0.965,1.221,1.526,1.709
-0.089,-0.010,0.961,1.160,1.831,1.282
-0.093,-0.010,0.965,0.732,2.197,1.160
-0.092,-0.007,0.970,1.038,2.319,1.282
-0.088,-0.007,0.975,0.916,2.197,1.343
-0.088,-0.007,0.974,1.343,1.770,1.099
-0.089,-0.007,0.966,0.793,1.343,1.221
-0.091,-0.004,0.969,0.854,1.526,1.099
-0.089,-0.008,0.966,1.282,1.770,0.977
-0.090,-0.009,0.971,0.671,1.587,1.099
-0.089,-0.006,0.969,1.221,1.404,1.160
-0.091,-0.007,0.969,0.854,1.404,1.099
-0.082,-0.020,0.940,0.427,1.282,1.160
-0.125,-0.004,0.971,-0.366,1.770,1.892
-0.120,-0.017,0.987,5.493,2.686,1.892
-0.057,0.031,0.974,0.305,1.099,1.526
-0.054,0.022,0.970,0.610,1.099,1.953
-0.082,-0.009,0.964,1.282,1.465,2.319
-0.083,-0.015,0.964,0.427,1.404,1.404
-0.088,-0.012,0.964,1.465,2.197,1.099
-0.090,-0.008,0.939,0.488,1.648,1.038
-0.102,-0.002,0.965,1.343,2.014,0.671
-0.093,-0.003,0.977,1.160,2.380,1.587
-0.088,-0.007,0.979,1.038,2.258,1.404
-0.085,-0.009,0.971,1.404,0.854,1.587
-0.123,-0.026,0.961,1.282,0.732,1.526
-0.055,0.023,0.966,1.282,1.404,0.977
-0.045,0.009,0.963,0.671,1.526,1.160
-0.045,0.023,0.966,1.282,1.587,0.610
-0.112,-0.026,0.963,1.099,1.953,0.977
-0.100,-0.002,0.973,1.099,1.831,1.831
-0.096,-0.000,0.967,1.465,1.587,2.258
-0.087,-0.013,0.964,0.916,1.953,2.502
-0.090,-0.011,0.968,0.732,2.075,1.770
-0.088,-0.010,0.971,0.793,1.709,1.770
-0.091,-0.008,0.968,1.099,1.709,1.587
-0.128,-0.033,0.969,1.099,1.343,1.160
-0.130,-0.017,0.969,1.160,2.014,1.831
-0.058,0.033,0.975,0.549,1.709,2.197
-0.045,0.016,0.968,1.160,1.587,2.014
-0.041,0.018,0.967,0.671,1.465,1.587
-0.096,-0.016,0.957,1.038,1.221,1.160
-0.090,-0.009,0.961,0.793,1.648,1.099
-0.092,-0.005,0.968,0.793,1.831,0.916
-0.090,-0.003,0.971,0.549,1.831,1.465
-0.091,-0.002,0.969,0.732,1.770,1.526
-0.093,-0.003,0.972,0.977,1.648,1.770
-0.099,-0.011,0.972,1.038,1.587,2.075
-0.117,-0.021,0.969,1.038,1.831,2.258
-0.055,0.026,0.969,0.854,2.136,1.282
-0.064,0.028,0.970,1.282,1.831,1.709
-0.051,0.016,0.962,1.343,1.587,1.282
-0.105,-0.019,0.959,1.038,2.441,1.221
-0.085,-0.006,0.976,0.916,2.747,1.465
-0.090,-0.003,0.975,0.977,1.709,1.160
-0.098,-0.003,0.966,1.282,0.977,1.343
-0.095,-0.002,0.962,1.221,1.648,1.648
-0.089,-0.004,0.968,0.854,1.953,1.953
-0.087,-0.008,0.967,0.977,1.709,1.709
-0.094,-0.005,0.965,0.854,1.831,1.587
-0.095,-0.002,0.970,1.099,2.258,1.526
-0.094,-0.001,0.966,0.854,1.953,2.075
-0.090,-0.006,0.973,1.099,2.258,2.197
-0.090,-0.007,0.968,0.916,1.770,2.014
-0.095,-0.008,0.965,0.977,1.709,1.709
-0.093,-0.008,0.970,0.916,2.075,1.892
-0.090,-0.009,0.974,1.038,2.136,1.526
-0.089,-0.009,0.970,1.282,1.526,1.221
-0.093,-0.006,0.965,1.282,1.587,1.282
-0.090,-0.008,0.965,0.916,1.709,1.221
-0.090,-0.006,0.970,0.488,1.648,0.671
-0.066,0.010,0.964,0.977,1.587,0.671
-0.052,0.007,0.964,1.221,1.709,0.671
-0.123,-0.038,0.964,0.366,1.892,0.427
-0.113,-0.035,0.971,0.793,1.953,0.732
-0.143,-0.036,0.974,1.160,1.465,0.854
-0.079,0.019,0.979,0.854,0.732,0.854
-0.041,0.041,0.973,1.709,0.610,0.854
-0.040,0.044,0.961,2.136,1.343,1.160
-0.084,-0.003,0.956,1.343,1.831,1.343
-0.148,-0.037,0.956,0.732,2.747,2.136
-0.119,-0.010,0.963,0.732,2.563,3.113
-0.050,0.031,0.938,0.610,3.052,2.625
-0.046,0.025,0.983,0.732,2.991,2.930
-0.041,0.008,0.980,1.038,2.319,2.075
-0.110,-0.044,0.969,1.648,1.282,1.770
-0.145,-0.039,0.958,2.075,0.916,1.099
-0.080,0.017,0.957,1.404,2.075,1.038
-0.085,0.017,0.971,0.793,2.197,1.404
-0.081,0.001,0.977,1.404,2.319,1.282
-0.091,-0.004,0.974,0.916,1.953,1.587

-0.093,-0.000,0.974,1.343,1.648,1.709
-0.091,-0.006,0.965,1.221,1.587,2.075
-0.087,-0.006,0.966,1.160,1.587,1.892
-0.090,-0.010,0.963,1.160,1.770,1.770
-0.097,-0.007,0.964,0.916,1.892,1.831
-0.137,-0.034,0.969,0.671,2.197,2.136
-0.070,0.020,0.974,0.732,1.770,1.892
-0.043,0.024,0.972,1.526,1.648,1.221
